Id_bien,id_codedep_codecommune,Surface,Type_local,Total_piece
548,1283,68.11,Appartement,2
620,133,58.3,Appartement,2
621,133,88.83,Appartement,4
722,14,164.87,Appartement,6
723,14,70.45,Appartement,3
627,10333,90.81,Appartement,5
663,10362,38.02,Appartement,2
708,10387,92.08,Appartement,4
709,10387,44.63,Appartement,1
710,10387,21.22,Appartement,1
244,11145,36.32,Appartement,3
496,11266,44.31,Appartement,2
497,11266,46.47,Appartement,2
1003,1169,35.6,Appartement,2
1004,1169,28.8,Appartement,1
388,132,67.92,Appartement,3
7,13201,46.81,Appartement,2
8,13201,53.66,Appartement,3
10,13203,35.77,Appartement,1
11,13204,101.98,Maison,2
12,13204,35.97,Appartement,2
13,13204,56.07,Appartement,3
14,13204,26.58,Appartement,1
15,13205,40.03,Appartement,3
17,13206,84.09,Appartement,4
18,13206,81.92,Appartement,3
19,13206,68.0,Appartement,4
20,13206,41.77,Appartement,2
25,13208,105.11,Appartement,6
26,13208,74.85,Appartement,4
27,13208,29.0,Appartement,1
28,13208,46.02,Appartement,2
29,13209,21.19,Appartement,1
30,13210,17.8,Appartement,1
31,13210,111.38,Appartement,6
32,13210,61.52,Appartement,3
33,13211,62.51,Appartement,3
34,13213,35.8,Appartement,1
35,13213,64.45,Appartement,4
36,13213,52.76,Appartement,2
37,13213,80.56,Appartement,4
38,13216,62.12,Maison,3
526,1328,29.29,Appartement,1
527,1328,23.07,Appartement,2
528,1328,22.13,Appartement,1
529,1328,27.9,Appartement,1
530,1328,20.78,Appartement,2
531,1328,21.76,Appartement,1
532,1328,27.9,Appartement,1
533,1328,35.58,Appartement,2
534,1328,44.71,Appartement,2
641,1335,51.24,Appartement,3
834,135,56.04,Appartement,4
1042,1375,95.25,Appartement,5
1043,1375,82.98,Appartement,4
1044,1375,62.94,Appartement,3
427,14220,18.8,Appartement,1
628,14333,46.94,Appartement,2
629,14333,48.0,Appartement,3
633,14338,37.28,Appartement,2
1015,14699,22.56,Appartement,1
1016,14699,29.34,Appartement,2
1032,14715,33.09,Appartement,2
1033,14715,74.21,Appartement,3
570,17300,29.25,Appartement,1
571,17300,21.72,Appartement,1
572,17300,35.95,Appartement,2
739,17415,70.05,Appartement,3
740,17415,46.63,Appartement,2
622,1833,63.97,Appartement,3
623,1833,44.77,Appartement,2
583,1931,70.1,Appartement,3
737,2408,88.14,Maison,4
1064,2810,89.56,Appartement,3
280,22168,54.42,Appartement,2
281,22168,25.28,Appartement,1
338,22187,179.3,Appartement,3
339,22187,205.2,Appartement,5
523,22278,67.24,Appartement,4
524,22278,61.96,Appartement,3
525,22278,54.59,Appartement,2
839,2250,69.43,Appartement,3
607,24322,61.61,Appartement,3
608,24322,55.22,Appartement,3
609,24322,87.73,Appartement,4
610,24322,51.84,Appartement,2
673,2437,24.78,Appartement,1
894,2556,62.92,Appartement,3
71,26108,56.92,Appartement,3
72,26108,67.73,Appartement,4
278,26165,62.01,Appartement,4
376,26198,72.12,Appartement,4
377,26198,68.69,Appartement,3
