id_codedep_codecommune,Code_departement,Commune,id_region
1283,1,OYONNAX,1
133,1,VALSERHONE,1
14,1,AMBERIEU-EN-BUGEY,1
10333,10,SAINT ANDRE LES VERGERS,5
10362,10,SAINTE SAVINE,5
10387,10,TROYES,5
11145,11,FLEURY D AUDE,11
11266,11,PORT-LA-NOUVELLE,11
1169,11,CARCASSONNE,11
132,13,ALLAUCH,13
13201,13,MARSEILLE 1ER,13
13203,13,MARSEILLE 3EME,13
13204,13,MARSEILLE 4EME,13
13205,13,MARSEILLE 5EME,13
13206,13,MARSEILLE 6EME,13
13208,13,MARSEILLE 8EME,13
13209,13,MARSEILLE 9EME,13
13210,13,MARSEILLE 10EME,13
13211,13,MARSEILLE 11EME,13
13213,13,MARSEILLE 13EME,13
13216,13,MARSEILLE 16EME,13
1328,13,LA CIOTAT,13
1335,13,EYGUIERES,13
135,13,AUBAGNE,13
1375,13,PLAN DE CUQUES,13
14220,14,DEAUVILLE,9
14333,14,HONFLEUR,9
14338,14,HOULGATE,9
14699,14,TOUQUES,9
14715,14,TROUVILLE-SUR-MER,9
17300,17,LA ROCHELLE,10
17415,17,SAINTES,10
1833,18,BOURGES,4
1931,19,BRIVE LA GAILLARDE,10
2408,2,LAON,6
2810,2,VILLERS-COTTERETS,6
22168,22,PERROS-GUIREC,3
22187,22,PLERIN,3
22278,22,SAINT-BRIEUC,3
2250,22,DINAN,3
24322,24,PERIGUEUX,10
2437,24,BERGERAC,10
2556,25,BESANCON,2
26108,26,CREST,1
26165,26,LIVRON SUR DROME,1
26198,26,MONTELIMAR,1
26235,26,PIERRELATTE,1
26281,26,ROMANS-SUR-ISERE,1
26362,26,VALENCE,1
2657,26,BOURG-DE-PEAGE,1
27230,27,EZY SUR EURE,9
27681,27,VERNON,9
28140,28,EPERNON,4
2885,28,CHARTRES,4
29105,29,LANDIVISIAU,3
2919,29,BREST,3
2923,29,CARANTEC,3
29233,29,QUIMPERLE,3
2939,29,CONCARNEAU,3
30132,30,LA GRAND COMBE,11
30133,30,LE GRAU DU ROI,11
30189,30,NIMES,11
30334,30,UZES,11
31259,31,LACROIX FALGARDE,11
31446,31,RAMONVILLE ST AGNE,11
31555,31,TOULOUSE,11
31557,31,TOURNEFEUILLE,11
33119,33,CENON,10
33199,33,GUJAN MESTRAS,10
33249,33,LORMONT,10
33273,33,MARTIGNAS SUR JALLE,10
33281,33,MERIGNAC,10
33312,33,PAREMPUYRE,10
33318,33,PESSAC,10
3339,33,BEGLES,10
33422,33,SAINT JEAN D ILLAC,10
33514,33,SOULAC-SUR-MER,10
33522,33,TALENCE,10
33550,33,VILLENAVE D ORNON,10
3363,33,BORDEAUX,10
3369,33,LE BOUSCAT,10
3375,33,BRUGES,10
339,33,ARCACHON,10
3396,33,CARBON BLANC,10
34108,34,FRONTIGNAN,11
34116,34,GRABELS,11
34150,34,MARSEILLAN,11
34172,34,MONTPELLIER,11
34198,34,PEROLS,11
34199,34,PEZENAS,11
34217,34,PRADES-LE-LEZ,11
34301,34,SETE,11
35238,35,RENNES,3
35288,35,SAINT-MALO,3
35326,35,SENS-DE-BRETAGNE,3
3547,35,BRUZ,3
3549,35,CANCALE,3
37122,37,JOUE LES TOURS,4
37132,37,LOCHES,4
37261,37,TOURS,4
38185,38,GRENOBLE,1
38382,38,SAINT-EGREVE,1
38421,38,SAINT-MARTIN-D'HERES,1
38485,38,SEYSSINET-PARISET,1
38548,38,VILLARD-DE-LANS,1
38562,38,VIZILLE,1
39198,39,DOLE,2
419,4,BARCELONNETTE,13
4245,4,VOLX,13
40192,40,MONT-DE-MARSAN,10
40224,40,PEYREHORADE,10
40235,40,POYANNE,10
40312,40,TARNOS,10
4118,41,BLOIS,4
42168,42,PELUSSIN,1
42187,42,ROANNE,1
42189,42,ROCHE-LA-MOLIERE,1
42218,42,SAINT-ETIENNE,1
42223,42,SAINT GENEST LERPT,1
42271,42,SAINT-PAUL-EN-JAREZ,1
425,42,ANDREZIEUX-BOUTHEON,1
44109,44,NANTES,12
4412,44,LA BERNERIE EN RETZ,12
44135,44,LE POULIGUEN,12
44143,44,REZE,12
44154,44,SAINT BREVIN LES PINS,12
44162,44,ST-HERBLAIN,12
44172,44,SAINTE-LUCE-SUR-LOIRE,12
44184,44,SAINT-NAZAIRE,12
44190,44,ST SEBASTIEN SUR LOIRE,12
4420,44,BOUGUENAIS,12
4426,44,CARQUEFOU,12
4435,44,CHAPELLE-SUR-ERDRE (LA),12
4455,44,LA BAULE-ESCOUBLAC,12
4469,44,GUERANDE,12
4487,44,MACHECOUL-SAINT-MEME,12
45147,45,FLEURY LES AUBRAIS,4
45234,45,ORLEANS,4
45315,45,SULLY-SUR-LOIRE,4
471,47,AGEN,10
47323,47,VILLENEUVE SUR LOT,10
4895,48,MENDE,11
4915,49,AVRILLE,12
49246,49,LES PONTS DE CE,12
497,49,ANGERS,12
4999,49,CHOLET,12
5177,5,VARS,13
523,5,BRIANCON,13
50129,50,CHERBOURG-EN-COTENTIN,9
50218,50,GRANVILLE,9
50502,50,SAINT-LO,9
51230,51,EPERNAY,5
5130,51,AY-CHAMPAGNE,5
51454,51,REIMS,5
51573,51,TINQUEUX,5
53130,53,LAVAL,12
53147,53,MAYENNE,12
54184,54,ESSEY LES NANCY,5
54273,54,JARNY,5
54323,54,LONGWY,5
54382,54,MONT SAINT MARTIN,5
54395,54,NANCY,5
54483,54,SAINT-NICOLAS-DE-PORT,5
54547,54,VANDOEUVRE LES NANCY,5
54578,54,VILLERS LES NANCY,5
56121,56,LORIENT,3
56178,56,PONTIVY,3
567,56,AURAY,3
5698,56,LANESTER,3
58303,58,VARENNES-VAUZELLES,2
59284,59,HASNON,6
59350,59,LILLE,6
59367,59,LYS LEZ LANNOY,6
59456,59,PECQUENCOURT,6
59507,59,RONCHIN,6
59646,59,WASQUEHAL,6
59653,59,WAVRIN,6
599,59,VILLENEUVE-D'ASCQ,6
6104,6,ROQUEBRUNE CAP MARTIN,13
611,6,BEAULIEU SUR MER,13
6123,6,SAINT LAURENT DU VAR,13
6130,6,SAINT-VALLIER-DE-THIEY,13
6149,6,LA TRINITE,13
6155,6,VALLAURIS,13
6157,6,VENCE,13
6159,6,VILLEFRANCHE-SUR-MER,13
6161,6,VILLENEUVE-LOUBET,13
6162,6,LA BRIGUE,13
6163,6,TENDE,13
627,6,CAGNES SUR MER,13
64,6,ANTIBES,13
675,6,LEVENS,13
683,6,MENTON,13
685,6,MOUGINS,13
688,6,NICE,13
60141,60,CHANTILLY,6
60159,60,COMPIEGNE,6
60175,60,CREIL,6
60176,60,CREPY EN VALOIS,6
60277,60,GOINCOURT,6
60282,60,GOUVIEUX,6
60342,60,LAIGNEVILLE,6
60667,60,VERBERIE,6
62119,62,BETHUNE,6
62139,62,BLENDECQUES,6
62193,62,CALAIS,6
6265,62,AVION,6
63300,63,RIOM,1
64132,64,BIZANOS,10
64445,64,PAU,10
64483,64,SAINT-JEAN-DE-LUZ,10
65440,65,TARBES,11
69142,69,LA MULATIERE,1
69143,69,NEUVILLE SUR SAONE,1
69149,69,OULLINS,1
69199,69,ST FONS,1
69259,69,VENISSIEUX,1
69264,69,VILLEFRANCHE,1
69266,69,VILLEURBANNE,1
69273,69,CORBAS,1
69275,69,DECINES-CHARPIEU,1
69282,69,MEYZIEU,1
69286,69,RILLIEUX-LA-PAPE,1
69289,69,SAINT-PIERRE-DE-CHANDIEU,1
69290,69,SAINT-PRIEST,1
